num_keys,load_factor,insert_32,find_32_100,find_32_50,find_32_0,
20000000,0.6,2.00231,1.33498,1.67158,2,
20000000,0.65,2.0025,1.33561,1.67157,2,
20000000,0.7,2.00267,1.3362,1.67163,2,
20000000,0.75,2.00285,1.33662,1.6716,2,
20000000,0.8,2.00306,1.33707,1.67167,2,
20000000,0.82,2.00315,1.33721,1.67162,2,
20000000,0.84,2.00321,1.33738,1.67165,2,
20000000,0.86,2.0033,1.33757,1.67164,2,
20000000,0.88,2.00336,1.33769,1.67166,2,
20000000,0.9,2.00345,1.33774,1.67157,2,
20000000,0.91,2.00349,1.33781,1.6716,2,
20000000,0.92,2.00352,1.33785,1.67164,2,
20000000,0.93,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.94,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.95,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.96,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.97,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.98,-5e-08,-5e-08,-5e-08,-5e-08,
20000000,0.99,-5e-08,-5e-08,-5e-08,-5e-08,
